Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:45:37 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.22    0.00    2.04    3.06    0.00   94.68

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb              11.00     0.00  389.00    0.00 103680.00     0.00   533.06   143.57  375.05  375.05    0.00   2.57 100.00
sdc              15.00     0.00  347.00    0.00 92160.00     0.00   531.18   143.49  433.40  433.40    0.00   2.88 100.00
sdd              11.00     0.00  377.00    0.00 99840.00     0.00   529.66   143.40  373.08  373.08    0.00   2.65 100.00
sde              18.00     0.00  371.00    0.00 99840.00     0.00   538.22   143.16  377.38  377.38    0.00   2.70 100.00
sdf              12.00     0.00  379.00    0.00 100608.00     0.00   530.91   143.64  380.37  380.37    0.00   2.64 100.00
sdg              14.00     0.00  378.00    0.00 101632.00     0.00   537.74   142.95  395.22  395.22    0.00   2.65 100.00
sdh              18.00     0.00  377.00    0.00 100096.00     0.00   531.01   143.05  366.47  366.47    0.00   2.65 100.00
sdi              18.00     0.00  340.00    0.00 90624.00     0.00   533.08   143.22  412.44  412.44    0.00   2.94 100.00
sdj              11.00     0.00  313.00    0.00 83712.00     0.00   534.90   143.82  479.59  479.59    0.00   3.19 100.00
sdk              10.00     0.00  338.00    0.00 88320.00     0.00   522.60   143.60  449.00  449.00    0.00   2.96 100.00
sdl              14.00     0.00  342.00    0.00 91648.00     0.00   535.95   143.49  417.53  417.53    0.00   2.92 100.00
sdm              16.00     0.00  336.00    0.00 88576.00     0.00   527.24   143.70  422.02  422.02    0.00   2.98 100.00
sdn               9.00     0.00  341.00    0.00 91648.00     0.00   537.52   143.66  407.74  407.74    0.00   2.93 100.00
sdo              21.00     0.00  375.00    0.00 102656.00     0.00   547.50   143.47  381.23  381.23    0.00   2.67 100.00
sdp              15.00     0.00  388.00    0.00 101632.00     0.00   523.88   143.48  359.78  359.78    0.00   2.58 100.00
sdq              27.00     0.00  371.00    0.00 100608.00     0.00   542.36   143.60  391.88  391.88    0.00   2.70 100.00
sdr              11.00     0.00  379.00    0.00 99584.00     0.00   525.51   143.41  378.63  378.63    0.00   2.64 100.00
sds               9.00     0.00  345.00    0.00 91392.00     0.00   529.81   143.25  404.82  404.82    0.00   2.90 100.00
sdt              11.00     0.00  240.00    0.00 64000.00     0.00   533.33   139.84  598.52  598.52    0.00   4.17 100.00
sdu              12.00     0.00  357.00    2.00 94976.00  2048.00   540.52   143.24  439.45  438.87  543.00   2.79 100.00
sdv              18.00     0.00  377.00    2.00 100608.00  2048.00   541.72   143.30  371.57  370.88  502.00   2.64 100.00
sdw              11.00     0.00  338.00    0.00 89088.00     0.00   527.15   143.42  412.34  412.34    0.00   2.96 100.00
sdx              12.00     0.00  349.00    0.00 93184.00     0.00   534.01   143.57  403.22  403.22    0.00   2.87 100.00
sdy              17.00     0.00  334.00    0.00 88832.00     0.00   531.93   143.08  413.65  413.65    0.00   2.99 100.00
sdz              17.00     0.00  344.00    0.00 91904.00     0.00   534.33   143.43  397.71  397.71    0.00   2.91 100.00
sdaa             13.00     0.00  372.00    0.00 98304.00     0.00   528.52   143.85  393.76  393.76    0.00   2.69 100.00
sdab             18.00     0.00  374.00    0.00 100096.00     0.00   535.27   143.33  383.26  383.26    0.00   2.67 100.00
sdac             23.00     0.00  331.00    0.00 89344.00     0.00   539.84   143.55  428.28  428.28    0.00   3.02 100.00
sdad             21.00     0.00  338.00    0.00 91392.00     0.00   540.78   143.74  414.07  414.07    0.00   2.96 100.00
sdae             19.00     0.00  371.00    0.00 100096.00     0.00   539.60   143.02  398.95  398.95    0.00   2.70 100.00
sdaf             14.00     0.00  337.00    0.00 89856.00     0.00   533.27   143.23  424.90  424.90    0.00   2.97 100.00
sdag             21.00     0.00  373.00    0.00 100608.00     0.00   539.45   143.50  402.91  402.91    0.00   2.68 100.00

02/07/2019 07:45:42 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.03    0.00    0.49   17.69    0.00   81.78

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb              23.00     0.00  386.00    0.00 103680.00     0.00   537.20   143.36  359.00  359.00    0.00   2.59 100.00
sdc              12.00     0.00  338.00    0.00 90624.00     0.00   536.24   143.46  421.75  421.75    0.00   2.96 100.00
sdd              21.00     0.00  372.00    0.00 98816.00     0.00   531.27   143.18  385.69  385.69    0.00   2.69 100.00
sde              15.00     0.00  378.00    0.00 99840.00     0.00   528.25   143.28  396.99  396.99    0.00   2.65 100.00
sdf              22.00     0.00  373.00    0.00 100096.00     0.00   536.71   143.31  399.45  399.45    0.00   2.68 100.00
sdg              28.00     0.00  375.00    0.00 101120.00     0.00   539.31   143.46  374.50  374.50    0.00   2.67 100.00
sdh              19.00     0.00  371.00    0.00 101376.00     0.00   546.50   143.64  391.36  391.36    0.00   2.70 100.00
sdi              17.00     0.00  332.00    0.00 89600.00     0.00   539.76   143.56  440.10  440.10    0.00   3.01 100.00
sdj              14.00     0.00  325.00    0.00 86272.00     0.00   530.90   143.39  443.17  443.17    0.00   3.08 100.00
sdk              21.00     0.00  333.00    0.00 89600.00     0.00   538.14   142.96  429.10  429.10    0.00   3.00 100.00
sdl              20.00     0.00  324.00    0.00 87040.00     0.00   537.28   143.39  432.43  432.43    0.00   3.09 100.00
sdm              16.00     0.00  320.00    0.00 87808.00     0.00   548.80   143.25  448.70  448.70    0.00   3.12 100.00
sdn              11.00     0.00  340.00    0.00 88320.00     0.00   519.53   143.53  426.40  426.40    0.00   2.94 100.00
sdo              29.00     0.00  373.00    0.00 102144.00     0.00   547.69   143.10  391.12  391.12    0.00   2.68 100.00
sdp              19.00     0.00  369.00    0.00 100352.00     0.00   543.91   143.61  398.90  398.90    0.00   2.71 100.00
sdq              14.00     0.00  373.00    0.00 99328.00     0.00   532.59   143.49  385.86  385.86    0.00   2.68 100.00
