Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:46:39 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.21    0.00    2.00    3.40    0.00   94.39

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdu               3.00    10.00  309.00  320.00 79872.00 85248.00   525.02   141.62  216.93   74.12  354.82   1.59 100.00
sdv               2.00     8.00  353.00  357.00 90624.00 93952.00   519.93   140.78  197.85   62.71  331.48   1.41 100.00
sdw               2.00     9.00  376.00  348.00 96768.00 91648.00   520.49   142.68  222.84   67.82  390.33   1.38 100.00
sdx               1.00     6.00  269.00  262.00 69120.00 68608.00   518.75   142.80  265.28   89.58  445.67   1.88 100.00
sdy               2.00    10.00  506.00  542.00 130304.00 143616.00   522.75   141.82  132.47   41.20  217.68   0.95 100.00
sdz               0.00     8.00  284.00  300.00 72704.00 78336.00   517.26   142.05  257.94   79.81  426.58   1.71 100.00
sdaa              3.00     9.00  324.00  371.00 83712.00 96256.00   517.89   141.92  207.23   68.65  328.26   1.44 100.00
sdab              1.00     3.00  254.00  247.00 65024.00 64512.00   517.11   140.68  253.43   99.21  412.02   2.00 100.00
sdac              0.00     8.00  279.00  281.00 71424.00 73984.00   519.31   143.54  243.90   86.08  400.60   1.79 100.00
sdad              3.00     6.00  260.00  243.00 67328.00 63232.00   519.13   143.13  268.79   89.32  460.80   1.99 100.00
sdae              1.00     9.00  367.00  384.00 94208.00 100096.00   517.45   144.51  198.40   70.59  320.55   1.33 100.00
sdaf              1.00    16.00  499.00  489.00 128000.00 128768.00   519.77   141.85  147.77   47.03  250.57   1.01 100.00
sdag              4.00    24.00  523.00  485.00 134912.00 130304.00   526.22   143.03  139.34   49.00  236.76   0.99 100.00

02/07/2019 07:46:43 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.68    0.00    2.41   21.72    0.00   75.18

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               4.00    10.00  339.00  330.00 87808.00 88064.00   525.78   141.50  232.22   74.97  393.76   1.49 100.00
sdc               6.00    11.00  317.00  324.00 82688.00 85760.00   525.58   140.07  213.27   69.55  353.88   1.56 100.00
sdd               2.00    15.00  337.00  334.00 86784.00 87552.00   519.63   142.97  213.03   70.54  356.80   1.49 100.00
sde               4.00    14.00  327.00  285.00 84736.00 76288.00   526.22   139.21  202.96   71.50  353.79   1.63 100.00
