Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:48:42 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.24    0.00    1.99    4.25    0.00   93.52

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdad              7.00     0.00 17977.00    2.00 71936.00  2048.00     8.23   127.15    7.04    7.04   15.00   0.05  90.40
sdae              4.00     0.00 8044.00    4.00 32192.00  4096.00     9.02   128.55   15.77   15.77   22.00   0.11  90.40
sdaf              8.00     0.00 21459.00    4.00 85864.00  4096.00     8.38   127.11    5.90    5.90   12.75   0.04  90.50
sdag              3.00     0.00 6974.00    4.00 27908.00  4096.00     9.17   128.03   18.13   18.12   36.75   0.13  90.40

02/07/2019 07:48:45 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.10    0.00   18.59   12.57    0.00   67.74

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb              11.00     0.00 26925.00    2.00 107744.00  2048.00     8.15   139.68    5.18    5.18   10.50   0.04 100.00
sdc              15.00     0.00 24873.00    2.00 99548.00  2048.00     8.17   140.24    5.63    5.63   12.50   0.04 100.00
sdd               7.00     0.00 24950.00    2.00 99828.00  2048.00     8.17   140.09    5.61    5.61   11.50   0.04 100.10
sde               7.00     0.00 19192.00    2.00 76796.00  2048.00     8.22   140.93    7.35    7.35   13.00   0.05 100.00
sdf               5.00     0.00 8266.00    4.00 33084.00  4096.00     8.99   144.97   17.50   17.49   24.00   0.12 100.00
sdg               8.00     0.00 13673.00    4.00 54724.00  4096.00     8.60   142.22   10.35   10.35   19.25   0.07 100.00
sdh              11.00     0.00 24867.00    4.00 99512.00  4096.00     8.33   140.49    5.64    5.64   13.75   0.04 100.10
sdi              12.00     0.00 25384.00    4.00 101580.00  4096.00     8.32   139.59    5.50    5.50   13.75   0.04 100.00
sdj              10.00     0.00 19085.00    4.00 76380.00  4096.00     8.43   141.14    7.40    7.40   14.00   0.05 100.00
sdk               5.00     0.00 9269.00    4.00 37100.00  4096.00     8.89   143.24   15.45   15.44   22.00   0.11 100.00
sdl              16.00     0.00 25539.00    4.00 102220.00  4096.00     8.32   140.66    5.50    5.50   12.75   0.04 100.00
sdm              13.00     0.00 24978.00    4.00 99964.00  4096.00     8.33   129.08    5.16    5.16   10.75   0.04  99.90
sdn               8.00     0.00 21378.00    4.00 85544.00  4096.00     8.38   141.37    6.60    6.60   13.00   0.05 100.10
sdo              11.00     0.00 19289.00    4.00 77200.00  4096.00     8.43   141.09    7.30    7.30   11.50   0.05 100.00
sdp               7.00     0.00 19129.00    4.00 76544.00  4096.00     8.43   141.41    7.39    7.38   14.00   0.05 100.00
sdq              10.00     0.00 22999.00    4.00 92036.00  4096.00     8.36   140.31    6.10    6.10   12.75   0.04 100.00
sdr              11.00     0.00 20394.00    4.00 81620.00  4096.00     8.40   141.04    6.91    6.91   16.50   0.05 100.00
sds               8.00     0.00 16358.00    4.00 65464.00  4096.00     8.50   141.78    8.66    8.66   14.00   0.06 100.00
sdt              15.00     0.00 25628.00    4.00 102572.00  4096.00     8.32   140.01    5.45    5.45   11.00   0.04 100.00
sdu              15.00     0.00 26134.00    4.00 104596.00  4096.00     8.32   139.64    5.34    5.34   11.00   0.04 100.00
sdv              12.00     0.00 23783.00    4.00 95180.00  4096.00     8.35   133.87    5.65    5.64   15.50   0.04  99.20
sdw               9.00     0.00 14027.00    4.00 56148.00  4096.00     8.59   140.69   10.04   10.04   22.25   0.07 100.00
sdx              10.00     0.00 16537.00    4.00 66188.00  4096.00     8.50   141.41    8.55    8.55   17.75   0.06 100.00
sdy              16.00     0.00 26494.00    4.00 106040.00  4096.00     8.31   139.68    5.27    5.27   13.50   0.04 100.00
