Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:49:43 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.26    0.00    2.34    4.43    0.00   92.97

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdk               0.00     6.00 8219.00 8360.00 32876.00 37544.00     8.50   141.23    8.53    3.31   13.66   0.06 100.10
sdl               0.00    10.00 13571.00 13800.00 54284.00 59320.00     8.30   139.34    5.09    1.98    8.14   0.04 100.10
sdm               0.00     7.00 12815.00 13116.00 51260.00 56572.00     8.32   140.42    5.41    2.08    8.67   0.04 100.10
sdn               1.00     8.00 13561.00 13631.00 54248.00 58636.00     8.30   139.04    5.10    1.98    8.21   0.04 100.10
sdo               0.00     0.00 4762.00 4661.00 19048.00 22724.00     8.87     6.53    0.69    0.71    0.68   0.10  95.60
sdp               1.00     4.00 12781.00 12717.00 51128.00 54964.00     8.32   140.16    5.50    2.11    8.90   0.04 100.00
sdq               0.00     7.00 11987.00 11900.00 47948.00 51708.00     8.34   140.74    5.89    2.28    9.53   0.04 100.10
sdr               0.00     7.00 10100.00 9902.00 40400.00 43716.00     8.41   140.57    7.02    2.63   11.50   0.05 100.10
sds               1.00     5.00 12874.00 12833.00 51500.00 55432.00     8.32   139.26    5.41    2.11    8.72   0.04 100.10
sdt               1.00     5.00 12883.00 12958.00 51536.00 55932.00     8.32   140.26    5.43    2.08    8.75   0.04 100.10
sdu               0.00    14.00 13147.00 13221.00 52588.00 54980.00     8.16   140.05    5.30    1.99    8.60   0.04 100.30
sdv               0.00    10.00 13299.00 13189.00 53196.00 54836.00     8.16   140.22    5.31    2.04    8.61   0.04 100.10
sdw               0.00     3.00 9728.00 9651.00 38912.00 40656.00     8.21   121.94    6.25    2.55    9.98   0.05  99.40
sdx               0.00     4.00 6244.00 6090.00 24976.00 26412.00     8.33   142.67   11.58    4.57   18.77   0.08 100.10
sdy               1.00     7.00 12959.00 12922.00 51840.00 53756.00     8.16   139.37    5.39    2.08    8.71   0.04 100.10
sdz               0.00     4.00 13085.00 13256.00 52340.00 55080.00     8.16   140.39    5.33    2.06    8.56   0.04 100.10
sdaa              0.00     1.00 7530.00 7500.00 30120.00 32044.00     8.27   141.18    9.42    3.57   15.30   0.07 100.10
sdab              0.00     1.00 5133.00 5270.00 20532.00 23124.00     8.39   142.39   13.73    5.58   21.68   0.10 100.10
sdac              0.00     7.00 12287.00 12206.00 49148.00 50892.00     8.17   140.85    5.74    2.21    9.31   0.04 100.10
sdad              0.00     7.00 12854.00 12954.00 51416.00 53880.00     8.16   139.45    5.38    2.11    8.63   0.04 100.20
sdae              0.00     4.00 7928.00 7792.00 31712.00 33224.00     8.26   141.77    9.03    3.42   14.75   0.06 100.20
sdaf              0.00     7.00 12747.00 12744.00 50988.00 53044.00     8.16   140.57    5.52    2.09    8.94   0.04 100.20
sdag              1.00     6.00 6103.00 6189.00 24416.00 26820.00     8.34   142.20   11.57    4.49   18.56   0.08 100.20

02/07/2019 07:49:48 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.61    0.00   18.88   10.47    0.00   69.04

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               0.00     3.00 11457.00 11433.00 45828.00 47784.00     8.18   112.93    4.91    2.09    7.74   0.04  99.20
sdc               1.00    14.00 13130.00 13387.00 52524.00 55644.00     8.16   139.66    5.27    1.98    8.49   0.04  99.90
sdd               3.00     0.00 9892.00 9801.00 39580.00 43288.00     8.42    30.47    1.52    1.21    1.82   0.05  99.80
sde               0.00     3.00 6848.00 6913.00 27392.00 31744.00     8.59   141.93   10.32    3.94   16.65   0.07 100.10
sdf               0.00     4.00 5115.00 5054.00 20460.00 24308.00     8.80   141.20   13.82    5.59   22.16   0.10 100.00
sdg               1.00     3.00 5088.00 5100.00 20356.00 24492.00     8.80   143.56   14.06    5.91   22.19   0.10 100.00
sdh               3.00    11.00 13996.00 13801.00 55996.00 59328.00     8.30   139.73    5.02    1.93    8.15   0.04 100.10
sdi               1.00    11.00 9507.00 9615.00 38032.00 42584.00     8.43    86.37    4.55    2.04    7.04   0.05  99.00
sdj               0.00     3.00 7050.00 6763.00 28200.00 29104.00     8.30   141.58   10.27    4.03   16.78   0.07 100.00
sdk               0.00     5.00 8435.00 8308.00 33740.00 35292.00     8.25   141.04    8.42    3.29   13.63   0.06 100.00
sdl               1.00    12.00 13830.00 13635.00 55324.00 56624.00     8.15   139.31    5.07    2.00    8.18   0.04 100.00
