Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:47:40 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.23    0.00    2.01    3.80    0.00   93.96

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdz               0.00     8.00    0.00  270.00     0.00 71936.00   532.86   124.08  289.18    0.00  289.18   3.22  87.00
sdaa              0.00     8.00    0.00  134.00     0.00 36864.00   550.21   124.15  390.84    0.00  390.84   6.51  87.30
sdab              0.00     6.00    0.00  197.00     0.00 52736.00   535.39   123.78  360.49    0.00  360.49   4.46  87.90
sdac              0.00     8.00    0.00  253.00     0.00 67328.00   532.24   123.63  291.16    0.00  291.16   3.46  87.50
sdad              0.00     8.00    0.00  181.00     0.00 49152.00   543.12   124.75  333.71    0.00  333.71   4.88  88.30
sdae              0.00     9.00    0.00  258.00     0.00 68608.00   531.84   125.34  313.25    0.00  313.25   3.43  88.40
sdaf              0.00    22.00    0.00  711.00     0.00 187648.00   527.84   123.27  137.23    0.00  137.23   1.23  87.60
sdag              0.00    12.00    0.00  364.00     0.00 96512.00   530.29   124.15  243.57    0.00  243.57   2.43  88.30

02/07/2019 07:47:43 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.68    0.00    1.09   20.29    0.00   77.94

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               0.00     7.00    0.00  274.00     0.00 72448.00   528.82   143.44  518.06    0.00  518.06   3.65 100.00
sdc               0.00    13.00    0.00  402.00     0.00 107008.00   532.38   143.09  343.70    0.00  343.70   2.49 100.00
sdd               0.00    17.00    0.00  264.00     0.00 71168.00   539.15   143.04  523.63    0.00  523.63   3.79 100.00
sde               0.00     9.00    0.00  277.00     0.00 73472.00   530.48   143.41  524.45    0.00  524.45   3.61 100.00
sdf               0.00     9.00    0.00  239.00     0.00 63232.00   529.14   142.82  594.11    0.00  594.11   4.18 100.00
